run_id,kind,script,encoder,mode,input_size,fold,seed,lr,epochs,batch_size,weight_decay,warmup,output,params_from,git_sha
mae_in1k_lp_224_f0_s2,finetune,scripts/finetune/train_amdsd.py,mae_in1k,lp,224,0,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_mae_in1k_lp_224_f0_s2.npz,filename,
mae_in1k_lp_224_f1_s2,finetune,scripts/finetune/train_amdsd.py,mae_in1k,lp,224,1,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_mae_in1k_lp_224_f1_s2.npz,filename,
mae_in1k_lp_224_f2_s2,finetune,scripts/finetune/train_amdsd.py,mae_in1k,lp,224,2,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_mae_in1k_lp_224_f2_s2.npz,filename,
mae_in1k_lp_224_f3_s2,finetune,scripts/finetune/train_amdsd.py,mae_in1k,lp,224,3,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_mae_in1k_lp_224_f3_s2.npz,filename,
mae_in1k_lp_224_f4_s2,finetune,scripts/finetune/train_amdsd.py,mae_in1k,lp,224,4,2,0.001,20,32,0.05,2,data/amdsd_preds/preds_mae_in1k_lp_224_f4_s2.npz,filename,
full_224_lr1e-05_f0_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,0,0,1e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_lr1e-05_f0_s0.npz,filename,
full_224_lr1e-05_f1_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,1,0,1e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_lr1e-05_f1_s0.npz,filename,
full_224_lr1e-05_f2_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,2,0,1e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_lr1e-05_f2_s0.npz,filename,
full_224_lr1e-05_f3_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,3,0,1e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_lr1e-05_f3_s0.npz,filename,
full_224_lr1e-05_f4_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,4,0,1e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_lr1e-05_f4_s0.npz,filename,
full_224_f0_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,0,0,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f0_s0.npz,config,
full_224_f1_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,1,0,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f1_s0.npz,config,
full_224_f2_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,2,0,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f2_s0.npz,config,
full_224_f3_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,3,0,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f3_s0.npz,config,
full_224_f4_s0,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,4,0,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f4_s0.npz,config,
full_224_f0_s1,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,0,1,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f0_s1.npz,filename,
full_224_f1_s1,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,1,1,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f1_s1.npz,filename,
full_224_f2_s1,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,2,1,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f2_s1.npz,filename,
full_224_f3_s1,finetune,scripts/finetune/train_amdsd.py,retfound,full,224,3,1,2e-05,20,32,0.05,2,data/amdsd_preds/preds_full_224_f3_s1.npz,filename,
